ProduktID;ProduktName;ProduktPreis;ProdkategorieID
1;Adidas Ultraboost Sneakers;90;10
2;Alex and Ani Birthstone Halskette;60;14
3;Apple MacBook Pro Laptop;1100;5
4;BabyBjörn Baby Carrier;220;2
5;Bulgari Serpenti Diamond Ring;10500;14
6;Clarisonic Mia 2 Gesichtsreinigungsbürste;155;15
7;Coleman Campingzelt;140;17
8;David Yurman Cable Classic Armreif;300;14
9;Der Herr der Ringe;100;3
10;Dyson V11 Absolute Staubsauger;530;9
11;Eames Lounge Chair;6200;12
12;Fellowes Aktenvernichter;35;4
13;Fender Stratocaster E-Gitarre;750;13
14;Fisher-Price Infant-to-Toddler Rocker;56;2
15;Fitbit Charge 4 Fitness-Tracker;265;8
16;Frontline Plus Floh- und Zeckenschutz für Hunde;25;18
17;Game of Thrones: Die komplette Serie (DVD-Boxset);150;7
18;Garmin Forerunner 245 GPS-Laufuhr;160;17
19;Graco Pack 'n Play Portable Playard;77;2
20;HP LaserJet Pro Drucker;160;4
21;Ikea Malm Kommode;50;12
22;Instant Pot Duo Plus Schnellkochtopf;120;9
23;LEGO Star Wars Millennium Falcon Set;200;16
24;Levi's 501 Jeans;190;10
25;Marvel's Avengers: Endgame (Blu-ray);20;7
26;Michelin Pilot Sport 4 Reifen;150;1
27;Moleskine Classic Notizbuch;13;4
28;Netflix Premium-Abonnement;16;7
29;Pampers Swaddlers Diapers;8;2
30;Pandora Charm-Armband;18;14
31;Philips Sonicare elektrische Zahnbürste;85;8
32;Rolex Submariner Herrenuhr;15000;19
33;Royal Canin Adult Trockenfutter für Katzen;20;18
34;Samsung Galaxy S21 Smartphone;175;6
35;Staedtler Triplus Fineliner Stifte;7;4
36;Swarovski Crystal Ohrringe;170;14
37;TAG Heuer Carrera Chronograph;230;19
38;Tiffany & Co. Diamant-Verlobungsring;700;14
39;Trixie Kratzbaum für Katzen;200;18
40;Wilson Pro Staff Tennisschläger;80;17
41;WMF Besteckset Miami;100;11
42;Zara Trenchcoat;130;10
